VC10Root
 1.0000000     0.0000000
 0.9754959     0.0019029
 0.9522804     0.0037634
 0.9302767     0.0055804
 0.9094083     0.0073530
 0.8895984     0.0090803
 0.8707702     0.0107612
 0.8528471     0.0123947
 0.8357524     0.0139800
 0.8194092     0.0155161
 0.8037410     0.0170019
 0.7886710     0.0184365
 0.7741224     0.0198189
 0.7600187     0.0211483
 0.7462895     0.0224246
 0.7328907     0.0236526
 0.7197847     0.0248378
 0.7069337     0.0259862
 0.6943002     0.0271033
 0.6818464     0.0281948
 0.6695347     0.0292666
 0.6573275     0.0303242
 0.6451870     0.0313735
 0.6330757     0.0324201
 0.6209558     0.0334698
 0.6087897     0.0345283
 0.5965398     0.0356012
 0.5841712     0.0366926
 0.5716603     0.0377995
 0.5589865     0.0389171
 0.5461290     0.0400409
 0.5330672     0.0411661
 0.5197803     0.0422879
 0.5062476     0.0434017
 0.4924484     0.0445028
 0.4783620     0.0455865
 0.4639677     0.0466480
 0.4492448     0.0476828
 0.4341726     0.0486860
 0.4187302     0.0496529
 0.4029146     0.0505798
 0.3867917     0.0514666
 0.3704452     0.0523139
 0.3539586     0.0531226
 0.3374155     0.0538934
 0.3208995     0.0546271
 0.3044941     0.0553243
 0.2882828     0.0559860
 0.2723494     0.0566128
 0.2567772     0.0572056
 0.2416499     0.0577650
 0.2270510     0.0582918
 0.2130641     0.0587868
 0.1997508     0.0592488
 0.1870849     0.0596682
 0.1750181     0.0600336
 0.1635022     0.0603335
 0.1524890     0.0605564
 0.1419303     0.0606909
 0.1317779     0.0607254
 0.1219836     0.0606484
 0.1124991     0.0604486
 0.1032762     0.0601143
 0.0942668     0.0596341
 0.0854226     0.0589966
 0.0766954     0.0581902
 0.0680592     0.0571996
 0.0595773     0.0559941
 0.0513350     0.0545391
 0.0434176     0.0527999
 0.0359107     0.0507421
 0.0288997     0.0483310
 0.0224698     0.0455319
 0.0167066     0.0423104
 0.0116955     0.0386319
 0.0075218     0.0344617
 0.0042711     0.0297652
 0.0020285     0.0245079
 0.0008797     0.0186552
 0.0000000     0.0132008
 0.0008709     0.0078525
 0.0032995     0.0026273
 0.0070926    -0.0024579
 0.0120574    -0.0073860
 0.0180006    -0.0121402
 0.0247293    -0.0167034
 0.0320506    -0.0210588
 0.0397712    -0.0251893
 0.0476983    -0.0290781
 0.0556388    -0.0327081
 0.0634289    -0.0360662
 0.0710850    -0.0391632
 0.0786923    -0.0420186
 0.0863360    -0.0446524
 0.0941015    -0.0470840
 0.1020740    -0.0493334
 0.1103389    -0.0514203
 0.1189813    -0.0533643
 0.1280867    -0.0551851
 0.1377402    -0.0569026
 0.1480271    -0.0585365
 0.1590251    -0.0601043
 0.1707361    -0.0616030
 0.1831191    -0.0630178
 0.1961327    -0.0643336
 0.2097353    -0.0655356
 0.2238854    -0.0666087
 0.2385416    -0.0675380
 0.2536624    -0.0683084
 0.2692064    -0.0689051
 0.2851320    -0.0693131
 0.3013978    -0.0695173
 0.3179636    -0.0695038
 0.3348116    -0.0692726
 0.3519424    -0.0688361
 0.3693573    -0.0682067
 0.3870575    -0.0673970
 0.4050443    -0.0664195
 0.4233188    -0.0652867
 0.4418823    -0.0640113
 0.4607361    -0.0626057
 0.4798814    -0.0610824
 0.4993193    -0.0594540
 0.5190495    -0.0577332
 0.5390140    -0.0559344
 0.5590857    -0.0540744
 0.5791335    -0.0521702
 0.5990263    -0.0502389
 0.6186329    -0.0482974
 0.6378222    -0.0463627
 0.6564629    -0.0444517
 0.6744240    -0.0425815
 0.6915742    -0.0407690
 0.7077824    -0.0390312
 0.7229184    -0.0373850
 0.7369332    -0.0358374
 0.7499212    -0.0343782
 0.7619910    -0.0329953
 0.7732516    -0.0316768
 0.7838118    -0.0304105
 0.7937804    -0.0291846
 0.8032662    -0.0279870
 0.8123781    -0.0268057
 0.8212249    -0.0256287
 0.8299155    -0.0244439
 0.8385586    -0.0232393
 0.8473044    -0.0219973
 0.8564106    -0.0206855
 0.8661525    -0.0192691
 0.8768053    -0.0177134
 0.8886442    -0.0159835
 0.9019444    -0.0140448
 0.9169813    -0.0118623
 0.9340301    -0.0094014
 0.9533660    -0.0066272
 0.9752642    -0.0035050
 1.0000000     0.0000000
